experiment,fault,task,proposed,reference,episodes,proposed_rate,reference_rate,rate_difference,proposed_only_success,reference_only_success,mcnemar_exact_p,holm_adjusted_p
fault,time_stall,bimanual_handover_item,progress_dynamic_roles,progress_only,50,0.58,0.54,0.04,5,3,0.7265625,1.0
fault,time_stall,bimanual_handover_item,full,progress_dynamic_roles,50,0.94,0.58,0.36,19,1,4.00543212890625e-05,0.0062885284423828125
fault,time_stall,bimanual_handover_item,full,dynamac_v4,50,0.94,0.76,0.18,12,3,0.03515625,1.0
fault,time_stall,bimanual_lift_tray,progress_only,dynamac_v4,50,0.88,0.84,0.04,4,2,0.6875,1.0
fault,time_stall,bimanual_lift_tray,progress_dynamic_roles,progress_only,50,1.0,0.88,0.12,6,0,0.03125,1.0
fault,time_stall,bimanual_lift_tray,full,progress_dynamic_roles,50,0.96,1.0,-0.04,0,2,0.5,1.0
fault,time_stall,bimanual_lift_tray,full,dynamac_v4,50,0.96,0.84,0.12,7,1,0.0703125,1.0
fault,time_stall,bimanual_put_bottle_in_fridge,progress_only,dynamac_v4,50,0.84,0.74,0.1,9,4,0.266845703125,1.0
fault,time_stall,bimanual_put_bottle_in_fridge,progress_dynamic_roles,progress_only,50,0.94,0.84,0.1,6,1,0.125,1.0
fault,time_stall,bimanual_put_bottle_in_fridge,full,progress_dynamic_roles,50,0.88,0.94,-0.06,1,4,0.375,1.0
fault,time_stall,bimanual_put_bottle_in_fridge,full,dynamac_v4,50,0.88,0.74,0.14,9,2,0.0654296875,1.0
fault,time_stall,bimanual_sweep_to_dustpan,progress_only,dynamac_v4,50,1.0,0.98,0.02,1,0,1.0,1.0
fault,time_stall,bimanual_sweep_to_dustpan,progress_dynamic_roles,progress_only,50,0.98,1.0,-0.02,0,1,1.0,1.0
fault,time_stall,bimanual_sweep_to_dustpan,full,progress_dynamic_roles,50,1.0,0.98,0.02,1,0,1.0,1.0
fault,time_stall,bimanual_sweep_to_dustpan,full,dynamac_v4,50,1.0,0.98,0.02,1,0,1.0,1.0
fault,time_stall,open_microwave,progress_only,dynamac_v4,50,1.0,0.0,1.0,50,0,1.7763568394002505e-15,3.375077994860476e-13
fault,time_stall,open_microwave,progress_dynamic_roles,progress_only,50,1.0,1.0,0.0,0,0,1.0,1.0
fault,time_stall,open_microwave,full,progress_dynamic_roles,50,1.0,1.0,0.0,0,0,1.0,1.0
fault,time_stall,open_microwave,full,dynamac_v4,50,1.0,0.0,1.0,50,0,1.7763568394002505e-15,3.375077994860476e-13
fault,time_stall,place_cups,progress_only,dynamac_v4,50,0.56,0.0,0.56,28,0,7.450580596923828e-09,1.2367963790893555e-06
fault,time_stall,place_cups,progress_dynamic_roles,progress_only,50,0.58,0.56,0.02,4,3,1.0,1.0
fault,time_stall,place_cups,full,progress_dynamic_roles,50,0.94,0.58,0.36,20,2,0.00012111663818359375,0.018651962280273438
fault,time_stall,place_cups,full,dynamac_v4,50,0.94,0.0,0.94,47,0,1.4210854715202004e-14,2.5011104298755527e-12
fault,time_stall,stack_wine,progress_only,dynamac_v4,50,1.0,0.86,0.14,7,0,0.015625,1.0
fault,time_stall,stack_wine,progress_dynamic_roles,progress_only,50,1.0,1.0,0.0,0,0,1.0,1.0
fault,time_stall,stack_wine,full,progress_dynamic_roles,50,1.0,1.0,0.0,0,0,1.0,1.0
fault,time_stall,stack_wine,full,dynamac_v4,50,1.0,0.86,0.14,7,0,0.015625,1.0
fault,time_stall,wipe_desk,progress_only,dynamac_v4,50,0.68,0.66,0.02,4,3,1.0,1.0
fault,time_stall,wipe_desk,progress_dynamic_roles,progress_only,50,0.68,0.68,0.0,1,1,1.0,1.0
fault,time_stall,wipe_desk,full,progress_dynamic_roles,50,0.66,0.68,-0.02,2,3,1.0,1.0
fault,time_stall,wipe_desk,full,dynamac_v4,50,0.66,0.66,0.0,4,4,1.0,1.0
fault,unexpected_drop,bimanual_handover_item,progress_only,dynamac_v4,50,0.14,0.26,-0.12,7,13,0.26317596435546875,1.0
fault,unexpected_drop,bimanual_handover_item,progress_dynamic_roles,progress_only,50,0.3,0.14,0.16,10,2,0.03857421875,1.0
fault,unexpected_drop,bimanual_handover_item,full,progress_dynamic_roles,50,0.64,0.3,0.34,25,8,0.004551384132355452,0.6599506991915405
fault,unexpected_drop,bimanual_handover_item,full,dynamac_v4,50,0.64,0.26,0.38,21,2,6.604194641113281e-05,0.010236501693725586
fault,unexpected_drop,bimanual_lift_tray,progress_only,dynamac_v4,50,0.86,0.88,-0.02,2,3,1.0,1.0
fault,unexpected_drop,bimanual_lift_tray,progress_dynamic_roles,progress_only,50,0.96,0.86,0.1,6,1,0.125,1.0
fault,unexpected_drop,bimanual_lift_tray,full,progress_dynamic_roles,50,0.92,0.96,-0.04,1,3,0.625,1.0
fault,unexpected_drop,bimanual_lift_tray,full,dynamac_v4,50,0.92,0.88,0.04,4,2,0.6875,1.0
fault,unexpected_drop,bimanual_put_bottle_in_fridge,progress_only,dynamac_v4,50,0.0,0.0,0.0,0,0,1.0,1.0
fault,unexpected_drop,bimanual_put_bottle_in_fridge,progress_dynamic_roles,progress_only,50,0.0,0.0,0.0,0,0,1.0,1.0
fault,unexpected_drop,bimanual_put_bottle_in_fridge,full,progress_dynamic_roles,50,0.0,0.0,0.0,0,0,1.0,1.0
fault,unexpected_drop,bimanual_put_bottle_in_fridge,full,dynamac_v4,50,0.0,0.0,0.0,0,0,1.0,1.0
fault,unexpected_drop,bimanual_sweep_to_dustpan,progress_only,dynamac_v4,50,0.0,1.0,-1.0,0,50,1.7763568394002505e-15,3.375077994860476e-13
fault,unexpected_drop,bimanual_sweep_to_dustpan,progress_dynamic_roles,progress_only,50,0.0,0.0,0.0,0,0,1.0,1.0
fault,unexpected_drop,bimanual_sweep_to_dustpan,full,progress_dynamic_roles,50,1.0,0.0,1.0,50,0,1.7763568394002505e-15,3.375077994860476e-13
fault,unexpected_drop,bimanual_sweep_to_dustpan,full,dynamac_v4,50,1.0,1.0,0.0,0,0,1.0,1.0
fault,unexpected_drop,open_microwave,progress_only,dynamac_v4,50,1.0,1.0,0.0,0,0,1.0,1.0
fault,unexpected_drop,open_microwave,progress_dynamic_roles,progress_only,50,1.0,1.0,0.0,0,0,1.0,1.0
fault,unexpected_drop,open_microwave,full,progress_dynamic_roles,50,1.0,1.0,0.0,0,0,1.0,1.0
fault,unexpected_drop,open_microwave,full,dynamac_v4,50,1.0,1.0,0.0,0,0,1.0,1.0
fault,unexpected_drop,place_cups,progress_only,dynamac_v4,50,0.0,0.0,0.0,0,0,1.0,1.0
fault,unexpected_drop,place_cups,progress_dynamic_roles,progress_only,50,0.0,0.0,0.0,0,0,1.0,1.0
fault,unexpected_drop,place_cups,full,progress_dynamic_roles,50,0.98,0.0,0.98,49,0,3.552713678800501e-15,6.501466032204917e-13
fault,unexpected_drop,place_cups,full,dynamac_v4,50,0.98,0.0,0.98,49,0,3.552713678800501e-15,6.501466032204917e-13
fault,unexpected_drop,stack_wine,progress_only,dynamac_v4,50,0.0,1.0,-1.0,0,50,1.7763568394002505e-15,3.375077994860476e-13
fault,unexpected_drop,stack_wine,progress_dynamic_roles,progress_only,50,0.0,0.0,0.0,0,0,1.0,1.0
fault,unexpected_drop,stack_wine,full,progress_dynamic_roles,50,0.08,0.0,0.08,4,0,0.125,1.0
fault,unexpected_drop,stack_wine,full,dynamac_v4,50,0.08,1.0,-0.92,0,46,2.842170943040401e-14,4.916955731459893e-12
fault,unexpected_drop,wipe_desk,progress_only,dynamac_v4,50,0.62,0.84,-0.22,1,12,0.00341796875,0.4990234375
fault,unexpected_drop,wipe_desk,progress_dynamic_roles,progress_only,50,0.6,0.62,-0.02,4,5,1.0,1.0
fault,unexpected_drop,wipe_desk,full,progress_dynamic_roles,50,0.7,0.6,0.1,7,2,0.1796875,1.0
