trial_id,task,arm,event,demonstration,goal,terminated,cycles,structured_failure,failure_reason
bounded:bimanual_put_bottle_in_fridge/left:left:bottle:k1:m0:link:0:d3,bimanual_put_bottle_in_fridge,left,left:bottle:k1:m0:link:0,3,link,1,2,1,link_waypoint_timeout
bounded:bimanual_put_bottle_in_fridge/left:left:bottle:k1:m0:link:0:d4,bimanual_put_bottle_in_fridge,left,left:bottle:k1:m0:link:0,4,link,1,2,1,link_waypoint_timeout
bounded:bimanual_put_bottle_in_fridge/left:left:bottle:k2:m0:unlink:0:d0,bimanual_put_bottle_in_fridge,left,left:bottle:k2:m0:unlink:0,0,unlink,1,3,1,unlink_detachment_timeout
bounded:bimanual_put_bottle_in_fridge/left:left:bottle:k2:m0:unlink:0:d1,bimanual_put_bottle_in_fridge,left,left:bottle:k2:m0:unlink:0,1,unlink,1,3,1,unlink_detachment_timeout
bounded:bimanual_put_bottle_in_fridge/left:left:bottle:k2:m0:unlink:0:d2,bimanual_put_bottle_in_fridge,left,left:bottle:k2:m0:unlink:0,2,unlink,1,3,1,unlink_detachment_timeout
bounded:bimanual_put_bottle_in_fridge/left:left:bottle:k2:m0:unlink:0:d3,bimanual_put_bottle_in_fridge,left,left:bottle:k2:m0:unlink:0,3,unlink,1,3,1,unlink_detachment_timeout
bounded:bimanual_put_bottle_in_fridge/left:left:bottle:k2:m0:unlink:0:d4,bimanual_put_bottle_in_fridge,left,left:bottle:k2:m0:unlink:0,4,unlink,1,3,1,unlink_detachment_timeout
bounded:bimanual_sweep_to_dustpan/left:left:broom:k3:m0:link:0:d0,bimanual_sweep_to_dustpan,left,left:broom:k3:m0:link:0,0,link,1,2,1,link_waypoint_timeout
bounded:bimanual_sweep_to_dustpan/left:left:broom:k3:m0:link:0:d1,bimanual_sweep_to_dustpan,left,left:broom:k3:m0:link:0,1,link,1,2,1,link_waypoint_timeout
bounded:bimanual_sweep_to_dustpan/left:left:broom:k3:m0:link:0:d2,bimanual_sweep_to_dustpan,left,left:broom:k3:m0:link:0,2,link,1,2,1,link_waypoint_timeout
bounded:bimanual_sweep_to_dustpan/left:left:broom:k3:m0:link:0:d3,bimanual_sweep_to_dustpan,left,left:broom:k3:m0:link:0,3,link,1,2,1,link_waypoint_timeout
bounded:bimanual_sweep_to_dustpan/left:left:broom:k3:m0:link:0:d4,bimanual_sweep_to_dustpan,left,left:broom:k3:m0:link:0,4,link,1,2,1,link_waypoint_timeout
