trial_id,task,arm,demonstration,scenario,intervention,perturbed,frame,expected_relation,skill_index,anchor_local_index,horizon_ticks,baseline_detection,proposed_detection,proposed_detection_latency,proposed_recover_rate,proposed_defer_rate,proposed_block_rate,baseline_active_rate,proposed_mean_weight,proposed_final_relation,baseline_active_expert_suppressed
relation:bimanual_handover_item/left:d0:break_link_control:item0,bimanual_handover_item,left,0,break_link_control,break_link,0,item0,linked,4,11,12,0,0,,0.0,0.0,0.0,0.0,0.0,linked,0
relation:bimanual_handover_item/left:d0:break_link_perturbed:item0,bimanual_handover_item,left,0,break_link_perturbed,break_link,1,item0,linked,4,11,12,0,1,0,1.0,0.0,1.0,0.0,0.0,external,0
relation:bimanual_handover_item/left:d0:false_coupling_control:item0,bimanual_handover_item,left,0,false_coupling_control,false_coupling,0,item0,external,0,39,12,0,0,,0.0,0.0,0.0,1.0,0.9999956172239628,external,0
relation:bimanual_handover_item/left:d0:false_coupling_perturbed:item0,bimanual_handover_item,left,0,false_coupling_perturbed,false_coupling,1,item0,external,0,39,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:bimanual_handover_item/left:d1:break_link_control:item0,bimanual_handover_item,left,1,break_link_control,break_link,0,item0,linked,4,10,12,0,0,,0.0,0.0,0.0,0.0,0.0,linked,0
relation:bimanual_handover_item/left:d1:break_link_perturbed:item0,bimanual_handover_item,left,1,break_link_perturbed,break_link,1,item0,linked,4,10,12,0,1,0,1.0,0.0,1.0,0.0,0.0,external,0
relation:bimanual_handover_item/left:d1:false_coupling_control:item0,bimanual_handover_item,left,1,false_coupling_control,false_coupling,0,item0,external,0,55,12,0,0,,0.0,0.0,0.0,1.0,0.9999956172263181,external,0
relation:bimanual_handover_item/left:d1:false_coupling_perturbed:item0,bimanual_handover_item,left,1,false_coupling_perturbed,false_coupling,1,item0,external,0,55,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:bimanual_handover_item/left:d2:break_link_control:item0,bimanual_handover_item,left,2,break_link_control,break_link,0,item0,linked,3,22,12,0,0,,0.0,0.08333333333333333,0.0,0.0,0.0,linked,0
relation:bimanual_handover_item/left:d2:break_link_perturbed:item0,bimanual_handover_item,left,2,break_link_perturbed,break_link,1,item0,linked,3,22,12,0,1,0,1.0,0.0,1.0,0.0,0.0,external,0
relation:bimanual_handover_item/left:d2:false_coupling_control:item0,bimanual_handover_item,left,2,false_coupling_control,false_coupling,0,item0,external,0,55,12,0,0,,0.0,0.0,0.0,1.0,0.9999956172064065,external,0
relation:bimanual_handover_item/left:d2:false_coupling_perturbed:item0,bimanual_handover_item,left,2,false_coupling_perturbed,false_coupling,1,item0,external,0,55,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:bimanual_handover_item/left:d3:break_link_control:item0,bimanual_handover_item,left,3,break_link_control,break_link,0,item0,linked,4,11,12,0,0,,0.0,0.08333333333333333,0.0,0.0,0.0,linked,0
relation:bimanual_handover_item/left:d3:break_link_perturbed:item0,bimanual_handover_item,left,3,break_link_perturbed,break_link,1,item0,linked,4,11,12,0,1,0,1.0,0.0,1.0,0.0,0.0,external,0
relation:bimanual_handover_item/left:d3:false_coupling_control:item0,bimanual_handover_item,left,3,false_coupling_control,false_coupling,0,item0,external,0,60,12,0,0,,0.0,0.0,0.0,1.0,0.9999956172244183,external,0
relation:bimanual_handover_item/left:d3:false_coupling_perturbed:item0,bimanual_handover_item,left,3,false_coupling_perturbed,false_coupling,1,item0,external,0,60,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:bimanual_handover_item/left:d4:break_link_control:item0,bimanual_handover_item,left,4,break_link_control,break_link,0,item0,linked,3,28,12,0,0,,0.0,0.08333333333333333,0.0,0.0,0.0,linked,0
relation:bimanual_handover_item/left:d4:break_link_perturbed:item0,bimanual_handover_item,left,4,break_link_perturbed,break_link,1,item0,linked,3,28,12,0,1,0,1.0,0.0,1.0,0.0,0.0,external,0
