trial_id,task,arm,demonstration,scenario,intervention,perturbed,frame,expected_relation,skill_index,anchor_local_index,horizon_ticks,baseline_detection,proposed_detection,proposed_detection_latency,proposed_recover_rate,proposed_defer_rate,proposed_block_rate,baseline_active_rate,proposed_mean_weight,proposed_final_relation,baseline_active_expert_suppressed
relation:bimanual_handover_item/left:d1:false_coupling_control:item0,bimanual_handover_item,left,1,false_coupling_control,false_coupling,0,item0,external,0,55,12,0,0,,0.0,0.0,0.0,1.0,0.9999999996280802,external,0
relation:bimanual_handover_item/left:d1:false_coupling_perturbed:item0,bimanual_handover_item,left,1,false_coupling_perturbed,false_coupling,1,item0,external,0,55,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:bimanual_handover_item/left:d2:false_coupling_control:item0,bimanual_handover_item,left,2,false_coupling_control,false_coupling,0,item0,external,0,55,12,0,0,,0.0,0.0,0.0,1.0,0.9999999841841974,external,0
relation:bimanual_handover_item/left:d2:false_coupling_perturbed:item0,bimanual_handover_item,left,2,false_coupling_perturbed,false_coupling,1,item0,external,0,55,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:bimanual_handover_item/left:d3:false_coupling_control:item0,bimanual_handover_item,left,3,false_coupling_control,false_coupling,0,item0,external,0,59,12,0,0,,0.0,0.0,0.0,1.0,0.9999999742397926,external,0
relation:bimanual_handover_item/left:d3:false_coupling_perturbed:item0,bimanual_handover_item,left,3,false_coupling_perturbed,false_coupling,1,item0,external,0,59,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:bimanual_handover_item/left:d4:false_coupling_control:item0,bimanual_handover_item,left,4,false_coupling_control,false_coupling,0,item0,external,0,49,12,0,0,,0.0,0.0,0.0,1.0,0.9999999996280801,external,0
relation:bimanual_handover_item/left:d4:false_coupling_perturbed:item0,bimanual_handover_item,left,4,false_coupling_perturbed,false_coupling,1,item0,external,0,49,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:bimanual_lift_tray/left:d0:false_coupling_control:tray,bimanual_lift_tray,left,0,false_coupling_control,false_coupling,0,tray,external,0,9,12,0,0,,0.0,0.0,0.0,1.0,0.9999999996280726,external,0
relation:bimanual_lift_tray/left:d0:false_coupling_perturbed:tray,bimanual_lift_tray,left,0,false_coupling_perturbed,false_coupling,1,tray,external,0,9,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:bimanual_lift_tray/left:d1:false_coupling_control:tray,bimanual_lift_tray,left,1,false_coupling_control,false_coupling,0,tray,external,0,9,12,0,0,,0.0,0.0,0.0,1.0,0.9999999996280969,external,0
relation:bimanual_lift_tray/left:d1:false_coupling_perturbed:tray,bimanual_lift_tray,left,1,false_coupling_perturbed,false_coupling,1,tray,external,0,9,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:bimanual_lift_tray/left:d2:false_coupling_control:tray,bimanual_lift_tray,left,2,false_coupling_control,false_coupling,0,tray,external,0,9,12,0,0,,0.0,0.0,0.0,1.0,0.9999999996280823,external,0
relation:bimanual_lift_tray/left:d2:false_coupling_perturbed:tray,bimanual_lift_tray,left,2,false_coupling_perturbed,false_coupling,1,tray,external,0,9,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:bimanual_lift_tray/left:d3:false_coupling_control:tray,bimanual_lift_tray,left,3,false_coupling_control,false_coupling,0,tray,external,0,9,12,0,0,,0.0,0.0,0.0,1.0,0.9999999996280743,external,0
relation:bimanual_lift_tray/left:d3:false_coupling_perturbed:tray,bimanual_lift_tray,left,3,false_coupling_perturbed,false_coupling,1,tray,external,0,9,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:bimanual_lift_tray/left:d4:false_coupling_control:tray,bimanual_lift_tray,left,4,false_coupling_control,false_coupling,0,tray,external,0,20,12,0,0,,0.0,0.0,0.0,1.0,0.9999999996280785,external,0
relation:bimanual_lift_tray/left:d4:false_coupling_perturbed:tray,bimanual_lift_tray,left,4,false_coupling_perturbed,false_coupling,1,tray,external,0,20,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:bimanual_lift_tray/right:d0:false_coupling_control:tray,bimanual_lift_tray,right,0,false_coupling_control,false_coupling,0,tray,external,0,9,12,0,0,,0.0,0.0,0.0,1.0,0.9999999996280883,external,0
relation:bimanual_lift_tray/right:d0:false_coupling_perturbed:tray,bimanual_lift_tray,right,0,false_coupling_perturbed,false_coupling,1,tray,external,0,9,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:bimanual_lift_tray/right:d1:false_coupling_control:tray,bimanual_lift_tray,right,1,false_coupling_control,false_coupling,0,tray,external,0,9,12,0,0,,0.0,0.0,0.0,1.0,0.9999999996280633,external,0
relation:bimanual_lift_tray/right:d1:false_coupling_perturbed:tray,bimanual_lift_tray,right,1,false_coupling_perturbed,false_coupling,1,tray,external,0,9,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:bimanual_lift_tray/right:d2:false_coupling_control:tray,bimanual_lift_tray,right,2,false_coupling_control,false_coupling,0,tray,external,0,9,12,0,0,,0.0,0.0,0.0,1.0,0.9999999996280827,external,0
relation:bimanual_lift_tray/right:d2:false_coupling_perturbed:tray,bimanual_lift_tray,right,2,false_coupling_perturbed,false_coupling,1,tray,external,0,9,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:bimanual_lift_tray/right:d3:false_coupling_control:tray,bimanual_lift_tray,right,3,false_coupling_control,false_coupling,0,tray,external,0,9,12,0,0,,0.0,0.0,0.0,1.0,0.9999999996280878,external,0
relation:bimanual_lift_tray/right:d3:false_coupling_perturbed:tray,bimanual_lift_tray,right,3,false_coupling_perturbed,false_coupling,1,tray,external,0,9,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
