trial_id,task,arm,demonstration,scenario,magnitude,skill_index,anchor_local_index,ticks,baseline_mae,proposed_mae,mae_improvement,baseline_exact_rate,proposed_exact_rate,baseline_final_error,proposed_final_error,proposed_no_plausible_cycles,proposed_wins
progress:wipe_desk:d0:stutter:m6,wipe_desk,single,0,stutter,6,2,66,33,4.090909090909091,3.242424242424242,0.8484848484848486,0.24242424242424243,0.09090909090909091,6.0,3.0,0,1
progress:wipe_desk:d0:skip:m2,wipe_desk,single,0,skip,2,2,66,25,1.36,1.84,-0.48,0.32,0.12,2.0,3.0,0,0
progress:wipe_desk:d0:skip:m4,wipe_desk,single,0,skip,4,2,66,23,2.608695652173913,1.0,1.608695652173913,0.34782608695652173,0.30434782608695654,4.0,2.0,0,1
progress:wipe_desk:d1:normal:m0,wipe_desk,single,1,normal,0,2,66,27,0.0,2.6296296296296298,-2.6296296296296298,1.0,0.0,0.0,4.0,0,0
progress:wipe_desk:d1:stutter:m3,wipe_desk,single,1,stutter,3,2,66,30,2.1,2.3,-0.19999999999999973,0.26666666666666666,0.0,3.0,4.0,0,0
progress:wipe_desk:d1:stutter:m6,wipe_desk,single,1,stutter,6,2,66,33,4.090909090909091,1.9393939393939394,2.1515151515151514,0.24242424242424243,0.12121212121212122,6.0,4.0,0,1
progress:wipe_desk:d1:skip:m2,wipe_desk,single,1,skip,2,2,66,25,1.36,2.92,-1.5599999999999998,0.32,0.0,2.0,4.0,0,0
progress:wipe_desk:d1:skip:m4,wipe_desk,single,1,skip,4,2,66,23,2.608695652173913,3.3043478260869565,-0.6956521739130435,0.34782608695652173,0.0,4.0,4.0,0,0
progress:wipe_desk:d2:normal:m0,wipe_desk,single,2,normal,0,2,66,27,0.0,2.0,-2.0,1.0,0.037037037037037035,0.0,3.0,0,0
progress:wipe_desk:d2:stutter:m3,wipe_desk,single,2,stutter,3,2,66,30,2.1,1.7,0.40000000000000013,0.26666666666666666,0.13333333333333333,3.0,3.0,0,1
progress:wipe_desk:d2:stutter:m6,wipe_desk,single,2,stutter,6,2,66,33,4.090909090909091,1.4545454545454546,2.6363636363636362,0.24242424242424243,0.15151515151515152,6.0,3.0,0,1
progress:wipe_desk:d2:skip:m2,wipe_desk,single,2,skip,2,2,66,25,1.36,2.28,-0.9199999999999997,0.32,0.04,2.0,3.0,0,0
progress:wipe_desk:d2:skip:m4,wipe_desk,single,2,skip,4,2,66,23,2.608695652173913,2.5217391304347827,0.08695652173913038,0.34782608695652173,0.043478260869565216,4.0,3.0,0,1
progress:wipe_desk:d3:normal:m0,wipe_desk,single,3,normal,0,2,66,27,0.0,0.18518518518518517,-0.18518518518518517,1.0,0.8148148148148148,0.0,0.0,0,0
progress:wipe_desk:d3:stutter:m3,wipe_desk,single,3,stutter,3,2,66,30,2.1,0.43333333333333335,1.6666666666666667,0.26666666666666666,0.6,3.0,0.0,0,1
progress:wipe_desk:d3:stutter:m6,wipe_desk,single,3,stutter,6,2,66,33,4.090909090909091,0.7272727272727273,3.3636363636363633,0.24242424242424243,0.5151515151515151,6.0,0.0,0,1
progress:wipe_desk:d3:skip:m2,wipe_desk,single,3,skip,2,2,66,25,1.36,0.44,0.9200000000000002,0.32,0.6,2.0,0.0,0,1
progress:wipe_desk:d3:skip:m4,wipe_desk,single,3,skip,4,2,66,23,2.608695652173913,0.782608695652174,1.8260869565217392,0.34782608695652173,0.391304347826087,4.0,0.0,0,1
progress:wipe_desk:d4:normal:m0,wipe_desk,single,4,normal,0,2,66,27,0.0,3.3333333333333335,-3.3333333333333335,1.0,0.07407407407407407,0.0,6.0,0,0
progress:wipe_desk:d4:stutter:m3,wipe_desk,single,4,stutter,3,2,66,30,2.1,3.7333333333333334,-1.6333333333333333,0.26666666666666666,0.06666666666666667,3.0,6.0,0,0
progress:wipe_desk:d4:stutter:m6,wipe_desk,single,4,stutter,6,2,66,33,4.090909090909091,4.2727272727272725,-0.18181818181818166,0.24242424242424243,0.06060606060606061,6.0,6.0,0,0
progress:wipe_desk:d4:skip:m2,wipe_desk,single,4,skip,2,2,66,25,1.36,2.84,-1.4799999999999998,0.32,0.08,2.0,5.0,0,0
progress:wipe_desk:d4:skip:m4,wipe_desk,single,4,skip,4,2,66,23,2.608695652173913,2.391304347826087,0.21739130434782616,0.34782608695652173,0.17391304347826086,4.0,5.0,0,1
progress:bimanual_handover_item/left:d0:normal:m0,bimanual_handover_item,left,0,normal,0,0,31,27,0.0,1.7777777777777777,-1.7777777777777777,1.0,0.18518518518518517,0.0,4.0,0,0
