family,task,arm,scenario,trials,baseline_mae,proposed_mae,relative_mae_reduction,proposed_win_rate,proposed_no_plausible_cycle_rate,baseline_detection_rate,proposed_detection_rate,proposed_block_rate,median_detection_latency,active_expert_suppression_rate
relation,place_cups,single,false_coupling_control,5,,,,,,0.0,0.0,0.016666666666666666,,0.0
relation,place_cups,single,false_coupling_perturbed,5,,,,,,0.0,1.0,1.0,0.0,1.0
relation,stack_wine,single,break_link_control,5,,,,,,0.0,0.0,0.0,,0.0
relation,stack_wine,single,break_link_perturbed,5,,,,,,0.0,1.0,0.9833333333333334,0.0,0.0
relation,stack_wine,single,false_coupling_control,5,,,,,,0.0,0.0,0.0,,0.0
relation,stack_wine,single,false_coupling_perturbed,5,,,,,,0.0,1.0,1.0,0.0,1.0
relation,wipe_desk,single,break_link_control,5,,,,,,0.0,0.0,0.016666666666666666,,0.0
relation,wipe_desk,single,break_link_perturbed,5,,,,,,0.0,1.0,1.0,0.0,0.0
relation,wipe_desk,single,false_coupling_control,5,,,,,,0.0,0.0,0.016666666666666666,,0.0
relation,wipe_desk,single,false_coupling_perturbed,5,,,,,,0.0,1.0,1.0,0.0,1.0
