task,arm,boundary,demonstrations,source_duration,terminal_window_size,terminal_no_plausible_rate,final_no_plausible_count,final_estimated_in_terminal_count,final_valid_endpoint_count,final_end_probability_minimum,final_end_probability_median,terminal_end_probability_minimum,nonterminal_end_probability_maximum,progress_separation_margin,progress_endpoint_ready,progress_separable,goal_count,goal_observed_rate,goal_support_rate,goal_minimum_compatibility,goal_minimum_log_margin,own_relation_count,own_relation_observed_rate,own_relation_stable_rate,own_relation_match_rate,own_relation_minimum_target_probability,guard_relation_count,guard_relation_observed_rate,guard_relation_stable_rate,guard_relation_match_rate,guard_relation_minimum_target_probability,guard_scene_count,guard_scene_observed_rate,guard_scene_support_rate,minimum_local_ready_streak,theta_inputs_ready,h_inputs_ready,guard_inputs_ready,readiness
bimanual_sweep_to_dustpan,right,right:0->1,5,64,3,0.0,0,5,5,0.9999999999999999,1.0,1.5703681086393805e-06,4.57021404435224e-05,-4.413177233488302e-05,1,0,4,1.0,1.0,0.0014620326781198106,0.0,0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,0,1.0,1.0,1,1,0,1,ready_theta_limited_h
bimanual_sweep_to_dustpan,right,right:1->2,5,12,3,0.06666666666666668,0,5,5,1.0,1.0,0.9997995123144907,0.015093406616206806,0.9847061056982839,1,1,1,1.0,1.0,0.0013254524842053771,0.0,0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,0,1.0,1.0,1,1,0,1,ready_theta_limited_h
bimanual_sweep_to_dustpan,right,right:2->3,5,8,3,0.0,0,5,5,0.9999999999999999,1.0,0.9730942107542336,0.011365263516994312,0.9617289472372393,1,1,1,1.0,1.0,0.028206143213930238,0.0,0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,0,1.0,1.0,2,1,1,1,ready_for_calibration
bimanual_sweep_to_dustpan,right,right:3->4,5,24,3,0.0,0,5,5,1.0,1.0,0.8177793571018126,0.16767154869824366,0.650107808403569,1,1,1,1.0,1.0,0.6173714108413023,0.0,0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,0,1.0,1.0,2,1,1,1,ready_for_calibration
open_microwave,single,single:0->1,5,101,3,0.0,0,5,5,1.0,1.0,0.8560525006643356,0.7750024840146982,0.0810500166496374,1,1,2,1.0,1.0,0.011539227743873564,0.0,0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,0,1.0,1.0,1,1,0,1,ready_theta_limited_h
open_microwave,single,single:1->2,5,13,3,0.0,0,5,5,1.0,1.0,0.6999293242508555,0.2253681580010687,0.47456116624978684,1,1,1,1.0,1.0,0.012968346289628795,0.0,0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,0,1.0,1.0,1,1,0,1,ready_theta_limited_h
place_cups,single,single:0->1,5,59,3,0.0,0,5,5,0.9999999999999999,1.0,0.9844334297104474,0.00022581907066748278,0.98420761063978,1,1,3,1.0,1.0,0.07532619206719708,0.0,0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,0,1.0,1.0,1,1,0,1,ready_theta_limited_h
place_cups,single,single:1->2,5,16,3,0.0,0,5,5,1.0,1.0,0.6769733253489552,0.2738926446195054,0.40308068072944975,1,1,1,1.0,1.0,0.7138315528013149,0.0,0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,0,1.0,1.0,1,1,0,1,ready_theta_limited_h
place_cups,single,single:2->3,5,15,3,0.0,0,5,5,0.9999999999999999,1.0,0.3083590224964147,0.5252336597583399,-0.21687463726192518,1,0,2,1.0,1.0,0.16102597888221784,0.0,1,1.0,1.0,1.0,0.9821496833669494,1,1.0,1.0,1.0,0.9821936543297747,0,1.0,1.0,1,1,0,1,ready_theta_limited_h
place_cups,single,single:3->4,5,70,3,0.0,0,5,5,0.9999999999999999,1.0,0.460032452741372,0.11537726804974294,0.34465518469162904,1,1,1,1.0,1.0,0.3614656856762315,0.0,0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,0,1.0,1.0,1,1,0,1,ready_theta_limited_h
stack_wine,single,single:0->1,5,72,3,0.0,0,5,5,1.0,1.0,0.9362406956198146,0.5166004665801179,0.41964022903969667,1,1,2,1.0,1.0,0.02451702760307123,0.0,0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,0,1.0,1.0,1,1,0,1,ready_theta_limited_h
stack_wine,single,single:1->2,5,11,3,0.0,0,5,5,0.9999999999999999,1.0,0.9995711027661957,0.0001724070634531586,0.9993986957027425,1,1,1,1.0,1.0,0.8030247754244347,0.0,0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,0,1.0,1.0,1,1,0,1,ready_theta_limited_h
stack_wine,single,single:2->3,5,59,3,0.0,0,5,5,0.9999999999999999,1.0,0.7105620401562395,0.4072774376178518,0.3032846025383877,1,1,1,1.0,1.0,0.036141905244478474,0.0,1,1.0,1.0,1.0,0.9999597517131747,0,1.0,1.0,1.0,1.0,0,1.0,1.0,1,1,0,1,ready_theta_limited_h
wipe_desk,single,single:0->1,5,74,3,0.0,0,5,5,0.9999999999999999,1.0,0.6774083587649399,0.14345743965455404,0.5339509191103858,1,1,2,1.0,1.0,0.054518775647815945,0.0,0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,0,1.0,1.0,1,1,0,1,ready_theta_limited_h
wipe_desk,single,single:1->2,5,23,3,0.0,0,5,5,0.9999999999999999,1.0,0.7414203015713724,0.3001228530924944,0.441297448478878,1,1,1,1.0,1.0,0.09383168498450857,0.0,1,1.0,1.0,1.0,0.9992027790164894,0,1.0,1.0,1.0,1.0,0,1.0,1.0,1,1,0,1,ready_theta_limited_h
wipe_desk,single,single:2->3,5,143,3,0.0,0,5,5,0.9999999999999999,1.0,0.986502597749537,0.0005330186650775941,0.9859695790844594,1,1,2,1.0,1.0,0.15930185071297723,0.0,0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,0,1.0,1.0,1,1,0,1,ready_theta_limited_h
