task,arm,boundary,demonstration,maximum_preterminal_ready_run,terminal_hold_ready_run
bimanual_sweep_to_dustpan,left,left:1->2,2,0,41
bimanual_sweep_to_dustpan,left,left:1->2,3,0,41
bimanual_sweep_to_dustpan,left,left:1->2,4,0,41
bimanual_sweep_to_dustpan,left,left:2->3,0,0,41
bimanual_sweep_to_dustpan,left,left:2->3,1,0,41
bimanual_sweep_to_dustpan,left,left:2->3,2,0,41
bimanual_sweep_to_dustpan,left,left:2->3,3,0,41
bimanual_sweep_to_dustpan,left,left:2->3,4,0,41
bimanual_sweep_to_dustpan,left,left:3->4,0,0,41
bimanual_sweep_to_dustpan,left,left:3->4,1,0,41
bimanual_sweep_to_dustpan,left,left:3->4,2,0,41
bimanual_sweep_to_dustpan,left,left:3->4,3,0,41
bimanual_sweep_to_dustpan,left,left:3->4,4,0,41
bimanual_sweep_to_dustpan,right,right:0->1,0,0,41
bimanual_sweep_to_dustpan,right,right:0->1,1,0,41
bimanual_sweep_to_dustpan,right,right:0->1,2,0,41
bimanual_sweep_to_dustpan,right,right:0->1,3,0,41
bimanual_sweep_to_dustpan,right,right:0->1,4,0,41
bimanual_sweep_to_dustpan,right,right:1->2,0,0,41
bimanual_sweep_to_dustpan,right,right:1->2,1,0,41
bimanual_sweep_to_dustpan,right,right:1->2,2,0,41
bimanual_sweep_to_dustpan,right,right:1->2,3,0,41
bimanual_sweep_to_dustpan,right,right:1->2,4,0,41
bimanual_sweep_to_dustpan,right,right:2->3,0,0,41
bimanual_sweep_to_dustpan,right,right:2->3,1,0,41
bimanual_sweep_to_dustpan,right,right:2->3,2,0,41
bimanual_sweep_to_dustpan,right,right:2->3,3,0,41
bimanual_sweep_to_dustpan,right,right:2->3,4,0,41
bimanual_sweep_to_dustpan,right,right:3->4,0,0,41
bimanual_sweep_to_dustpan,right,right:3->4,1,0,41
bimanual_sweep_to_dustpan,right,right:3->4,2,0,41
bimanual_sweep_to_dustpan,right,right:3->4,3,0,41
bimanual_sweep_to_dustpan,right,right:3->4,4,0,41
open_microwave,single,single:0->1,0,0,41
open_microwave,single,single:0->1,1,0,41
open_microwave,single,single:0->1,2,0,41
open_microwave,single,single:0->1,3,0,41
open_microwave,single,single:0->1,4,0,41
open_microwave,single,single:1->2,0,0,41
open_microwave,single,single:1->2,1,0,41
open_microwave,single,single:1->2,2,0,41
open_microwave,single,single:1->2,3,0,41
open_microwave,single,single:1->2,4,0,41
place_cups,single,single:0->1,0,0,41
place_cups,single,single:0->1,1,0,41
place_cups,single,single:0->1,2,0,41
place_cups,single,single:0->1,3,0,41
place_cups,single,single:0->1,4,0,41
place_cups,single,single:1->2,0,0,41
place_cups,single,single:1->2,1,0,41
place_cups,single,single:1->2,2,0,41
place_cups,single,single:1->2,3,0,41
place_cups,single,single:1->2,4,0,41
place_cups,single,single:2->3,0,0,41
place_cups,single,single:2->3,1,0,41
place_cups,single,single:2->3,2,0,41
place_cups,single,single:2->3,3,0,41
place_cups,single,single:2->3,4,0,41
place_cups,single,single:3->4,0,0,41
place_cups,single,single:3->4,1,0,41
place_cups,single,single:3->4,2,0,41
place_cups,single,single:3->4,3,0,41
place_cups,single,single:3->4,4,0,41
stack_wine,single,single:0->1,0,0,41
stack_wine,single,single:0->1,1,0,41
stack_wine,single,single:0->1,2,0,41
stack_wine,single,single:0->1,3,0,41
stack_wine,single,single:0->1,4,0,41
stack_wine,single,single:1->2,0,0,41
stack_wine,single,single:1->2,1,0,41
stack_wine,single,single:1->2,2,0,41
stack_wine,single,single:1->2,3,0,41
stack_wine,single,single:1->2,4,0,41
stack_wine,single,single:2->3,0,0,41
stack_wine,single,single:2->3,1,0,41
stack_wine,single,single:2->3,2,0,41
stack_wine,single,single:2->3,3,0,41
stack_wine,single,single:2->3,4,0,41
wipe_desk,single,single:0->1,0,0,41
wipe_desk,single,single:0->1,1,0,41
wipe_desk,single,single:0->1,2,0,41
wipe_desk,single,single:0->1,3,0,41
wipe_desk,single,single:0->1,4,0,41
wipe_desk,single,single:1->2,0,0,41
wipe_desk,single,single:1->2,1,0,41
wipe_desk,single,single:1->2,2,3,41
wipe_desk,single,single:1->2,3,0,41
wipe_desk,single,single:1->2,4,0,41
wipe_desk,single,single:2->3,0,0,41
wipe_desk,single,single:2->3,1,0,41
wipe_desk,single,single:2->3,2,0,41
wipe_desk,single,single:2->3,3,0,41
wipe_desk,single,single:2->3,4,0,41
