task,arm,demonstration,boundary,state,family,condition,target,observed,reliability,decision_stable,target_decision_match,compatibility,threshold,log_likelihood,log_likelihood_margin,threshold_pass,decision,target_probability
stack_wine,single,0,single:0->1,k0:t62,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-8391.212801106132,-8423.11675712106,0,,
stack_wine,single,0,single:0->1,k0:t63,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-2406.351660963053,-2422.822617443451,0,,
stack_wine,single,0,single:0->1,k0:t63,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-6315.652663807857,-6347.556619822786,0,,
stack_wine,single,0,single:0->1,k0:t64,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-1728.1018762431213,-1744.5728327235192,0,,
stack_wine,single,0,single:0->1,k0:t64,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-4532.619750849499,-4564.523706864428,0,,
stack_wine,single,0,single:0->1,k0:t65,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-1162.5786167941587,-1179.0495732745567,0,,
stack_wine,single,0,single:0->1,k0:t65,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-3045.8721547300693,-3077.7761107449987,0,,
stack_wine,single,0,single:0->1,k0:t66,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,1.068195e-317,16.470956480398055,-709.6743345242432,-726.1452910046413,0,,
stack_wine,single,0,single:0->1,k0:t66,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-1856.9336514489694,-1888.8376074638988,0,,
stack_wine,single,0,single:0->1,k0:t67,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,1.9147771649564364e-169,16.470956480398055,-368.3080282524386,-384.77898473283665,0,,
stack_wine,single,0,single:0->1,k0:t67,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-961.1224109286904,-993.0263669436199,0,,
stack_wine,single,0,single:0->1,k0:t68,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,8.654396069897722e-74,16.470956480398055,-148.05392539216592,-164.52488187256398,0,,
stack_wine,single,0,single:0->1,k0:t68,local_goal,m0:wine_bottle,final_support,1,1.0,,,1.1176365936404807e-183,31.90395601492942,-387.67415982939133,-419.57811584432073,0,,
stack_wine,single,0,single:0->1,k0:t69,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,7.113471499557423e-25,16.470956480398055,-35.42330577442606,-51.89426225482411,0,,
stack_wine,single,0,single:0->1,k0:t69,local_goal,m0:wine_bottle,final_support,1,1.0,,,8.052962704714006e-58,31.90395601492942,-97.87607599289107,-129.7800320078205,0,,
stack_wine,single,0,single:0->1,k0:t70,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,3.711442252544956e-06,16.470956480398055,7.6752515699734145,-8.79570491042464,0,,
stack_wine,single,0,single:0->1,k0:t70,local_goal,m0:wine_bottle,final_support,1,1.0,,,1.5890573994156902e-10,31.90395601492942,11.025155447266162,-20.87880056766326,0,,
stack_wine,single,0,single:0->1,k0:t71,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.045561737267263716,16.470956480398055,17.0906568736357,0.6197003932376468,1,,
stack_wine,single,0,single:0->1,k0:t71,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.5145713551026653,31.90395601492942,32.92345336901101,1.0194973540815866,1,,
stack_wine,single,0,single:1->2,k1:t1,local_goal,m0:virtual_skill_1,final_support,1,1.0,,,0.0,35.506834421150934,-835.7138568865186,-871.2206913076695,0,,
stack_wine,single,0,single:1->2,k1:t2,local_goal,m0:virtual_skill_1,final_support,1,1.0,,,0.0,35.506834421150934,-809.6602517685336,-845.1670861896846,0,,
stack_wine,single,0,single:1->2,k1:t3,local_goal,m0:virtual_skill_1,final_support,1,1.0,,,5e-324,35.506834421150934,-709.0538837243904,-744.5607181455414,0,,
stack_wine,single,0,single:1->2,k1:t4,local_goal,m0:virtual_skill_1,final_support,1,1.0,,,1.4917207616824501e-248,35.506834421150934,-534.915384536793,-570.422218957944,0,,
stack_wine,single,0,single:1->2,k1:t5,local_goal,m0:virtual_skill_1,final_support,1,1.0,,,1.262920575930467e-155,35.506834421150934,-320.94131823966404,-356.44815266081497,0,,
stack_wine,single,0,single:1->2,k1:t6,local_goal,m0:virtual_skill_1,final_support,1,1.0,,,4.5276008938683e-72,35.506834421150934,-128.5498499867596,-164.05668440791052,0,,
stack_wine,single,0,single:1->2,k1:t7,local_goal,m0:virtual_skill_1,final_support,1,1.0,,,3.478354724716807e-24,35.506834421150934,-18.28931791434757,-53.796152335498505,0,,
stack_wine,single,0,single:1->2,k1:t8,local_goal,m0:virtual_skill_1,final_support,1,1.0,,,2.941379904333551e-05,35.506834421150934,25.29215005698442,-10.214684364166516,0,,
stack_wine,single,0,single:1->2,k1:t9,local_goal,m0:virtual_skill_1,final_support,1,1.0,,,0.6297330641892518,35.506834421150934,35.26374470937907,-0.24308971177186578,0,,
stack_wine,single,0,single:1->2,k1:t10,local_goal,m0:virtual_skill_1,final_support,1,1.0,,,0.9308605267985086,35.506834421150934,35.65455842805595,0.14772400690501541,1,,
stack_wine,single,0,single:2->3,k2:t1,local_goal,m0:success_sensor,final_support,1,1.0,,,0.0,16.72038144425277,-4861.052180816441,-4877.772562260694,0,,
stack_wine,single,0,single:2->3,k2:t1,own_relation,single/wine_bottle,linked,1,1.0,1,0,0.3078237137168597,,,,,external,0.01955928429214908
stack_wine,single,0,single:2->3,k2:t2,local_goal,m0:success_sensor,final_support,1,1.0,,,0.0,16.72038144425277,-4870.002407755186,-4886.722789199439,0,,
stack_wine,single,0,single:2->3,k2:t2,own_relation,single/wine_bottle,linked,1,1.0,1,0,0.373457268923512,,,,,external,0.18364317230877994
stack_wine,single,0,single:2->3,k2:t3,local_goal,m0:success_sensor,final_support,1,1.0,,,0.0,16.72038144425277,-4889.842820010544,-4906.563201454796,0,,
stack_wine,single,0,single:2->3,k2:t3,own_relation,single/wine_bottle,linked,1,1.0,1,1,0.6959308533846397,,,,,linked,0.9898271334615992
stack_wine,single,0,single:2->3,k2:t4,local_goal,m0:success_sensor,final_support,1,1.0,,,0.0,16.72038144425277,-4911.494128622616,-4928.214510066869,0,,
stack_wine,single,0,single:2->3,k2:t4,own_relation,single/wine_bottle,linked,1,1.0,1,1,0.699999282377704,,,,,linked,0.9999982059442604
