task,arm,demonstration,boundary,source_skill,target_skill,source_duration,terminal_window_size,final_progress_status,final_progress_supported,final_estimated_in_terminal_window,final_end_probability,final_best_explanation_score,terminal_supported_samples,terminal_sample_count,terminal_minimum_end_probability,nonterminal_maximum_end_probability,goal_count,goal_observed_all,goal_support_all,goal_minimum_compatibility,goal_minimum_log_margin,own_relation_count,own_relation_observed_all,own_relation_stable_all,own_relation_match_all,own_relation_minimum_target_probability,own_relation_minimum_compatibility,guard_relation_count,guard_relation_observed_all,guard_relation_stable_all,guard_relation_match_all,guard_relation_minimum_target_probability,guard_relation_minimum_compatibility,guard_scene_count,guard_scene_observed_all,guard_scene_support_all,guard_scene_minimum_compatibility,local_ready_streak,all_conditions_ready_streak
place_cups,single,4,single:3->4,3,4,70,3,aligned,1,1,0.9999999999999999,0.791459252337202,3,3,0.8890901004574249,0.0964910619359384,1,1,1,0.7938388452858829,0.7867137266148063,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,2,2
open_microwave,single,0,single:0->1,0,1,101,3,aligned,1,1,1.0,0.3559822773646489,3,3,0.9965361444479813,5.316454202623241e-09,2,1,1,0.23769641734922853,2.2867613525838486,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,1,1
open_microwave,single,0,single:1->2,1,2,13,3,aligned,1,1,1.0,0.9665892699012436,3,3,0.9297912482634593,0.0010698648657236675,1,1,1,0.9667901039845568,4.311471158912852,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,1,1
open_microwave,single,1,single:0->1,0,1,101,3,aligned,1,1,1.0,0.16593220809284873,3,3,0.9999999999574697,0.7750024840146982,2,1,1,0.09632313115402756,2.1219566251823707,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,2,2
open_microwave,single,1,single:1->2,1,2,13,3,aligned,1,1,1.0,0.20213681001655945,3,3,0.9772960210815334,0.03381514851731096,1,1,1,0.20233004043223884,2.7473895858450916,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,2,2
open_microwave,single,2,single:0->1,0,1,101,3,aligned,1,1,1.0,0.24686529847303115,3,3,0.9999670179791372,0.00026245133947607304,2,1,1,0.12982138228513515,1.6819265713407567,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,2,2
open_microwave,single,2,single:1->2,1,2,13,3,aligned,1,1,1.0,0.7457749058004807,3,3,0.9560783371867404,0.003808017653901724,1,1,1,0.7461750927639943,4.052449840486318,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,1,1
open_microwave,single,3,single:0->1,0,1,101,3,aligned,1,1,1.0,0.18775674007893078,3,3,0.9976140699790791,2.6696661168379423e-10,2,1,1,0.057682671898977446,0.8707238708467813,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,1,1
open_microwave,single,3,single:1->2,1,2,13,3,aligned,1,1,1.0000000000000002,0.5545089246107469,3,3,0.9891882121450744,0.2253681580010687,1,1,1,0.5554658808918337,3.757296770859192,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,2,2
open_microwave,single,4,single:0->1,0,1,101,3,backward_realignment,1,1,1.0,0.30848142441395227,3,3,0.8560525006643356,9.274679218912897e-07,2,1,1,0.011539227743873564,0.0,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,1,1
