proposed_experiment,proposed_fault,reference_experiment,reference_fault,task,method,paired_episodes,proposed_rate,reference_rate,proposed_only_success,reference_only_success,mcnemar_exact_p,holm_adjusted_p
fault,relation_mismatch,dynamic,,bimanual_handover_item,progress_only,50,0.14,0.68,0,27,1.4901161193847656e-08,1.4901161193847656e-06
fault,relation_mismatch,dynamic,,bimanual_lift_tray,dynamac_v4,50,0.0,0.9,0,45,5.684341886080802e-14,7.503331289626658e-12
fault,relation_mismatch,dynamic,,bimanual_lift_tray,full,50,0.0,0.9,0,45,5.684341886080802e-14,7.503331289626658e-12
fault,relation_mismatch,dynamic,,bimanual_lift_tray,progress_dynamic_roles,50,0.0,0.94,0,47,1.4210854715202004e-14,1.9326762412674725e-12
fault,relation_mismatch,dynamic,,bimanual_lift_tray,progress_only,50,0.0,0.88,0,44,1.1368683772161603e-13,1.432454155292362e-11
fault,relation_mismatch,dynamic,,bimanual_put_bottle_in_fridge,dynamac_v4,50,0.36,0.9,1,28,1.1175870895385742e-07,1.0952353477478027e-05
fault,relation_mismatch,dynamic,,bimanual_put_bottle_in_fridge,full,50,0.6,0.92,2,18,0.0004024505615234375,0.03742790222167969
fault,relation_mismatch,dynamic,,bimanual_put_bottle_in_fridge,progress_dynamic_roles,50,0.0,0.88,0,44,1.1368683772161603e-13,1.432454155292362e-11
fault,relation_mismatch,dynamic,,bimanual_put_bottle_in_fridge,progress_only,50,0.0,0.88,0,44,1.1368683772161603e-13,1.432454155292362e-11
fault,relation_mismatch,dynamic,,bimanual_sweep_to_dustpan,dynamac_v4,50,0.0,1.0,0,50,1.7763568394002505e-15,2.8421709430404007e-13
fault,relation_mismatch,dynamic,,bimanual_sweep_to_dustpan,full,50,0.0,0.98,0,49,3.552713678800501e-15,4.973799150320701e-13
fault,relation_mismatch,dynamic,,bimanual_sweep_to_dustpan,progress_dynamic_roles,50,0.0,0.98,0,49,3.552713678800501e-15,4.973799150320701e-13
fault,relation_mismatch,dynamic,,bimanual_sweep_to_dustpan,progress_only,50,0.0,1.0,0,50,1.7763568394002505e-15,2.8421709430404007e-13
fault,relation_mismatch,dynamic,,open_microwave,dynamac_v4,50,1.0,1.0,0,0,1.0,1.0
fault,relation_mismatch,dynamic,,open_microwave,full,50,0.98,0.98,0,0,1.0,1.0
fault,relation_mismatch,dynamic,,open_microwave,progress_dynamic_roles,50,1.0,1.0,0,0,1.0,1.0
fault,relation_mismatch,dynamic,,open_microwave,progress_only,50,1.0,1.0,0,0,1.0,1.0
fault,relation_mismatch,dynamic,,place_cups,dynamac_v4,50,0.0,1.0,0,50,1.7763568394002505e-15,2.8421709430404007e-13
fault,relation_mismatch,dynamic,,place_cups,full,50,0.28,0.96,1,35,1.076841726899147e-09,1.1199153959751129e-07
fault,relation_mismatch,dynamic,,place_cups,progress_dynamic_roles,50,0.0,0.58,0,29,3.725290298461914e-09,3.8370490074157715e-07
fault,relation_mismatch,dynamic,,place_cups,progress_only,50,0.0,0.68,0,34,1.1641532182693481e-10,1.3271346688270569e-08
fault,relation_mismatch,dynamic,,stack_wine,dynamac_v4,50,0.38,1.0,0,31,9.313225746154785e-10,9.778887033462524e-08
fault,relation_mismatch,dynamic,,stack_wine,full,50,0.98,1.0,0,1,1.0,1.0
fault,relation_mismatch,dynamic,,stack_wine,progress_dynamic_roles,50,0.0,1.0,0,50,1.7763568394002505e-15,2.8421709430404007e-13
fault,relation_mismatch,dynamic,,stack_wine,progress_only,50,0.0,1.0,0,50,1.7763568394002505e-15,2.8421709430404007e-13
fault,relation_mismatch,dynamic,,wipe_desk,dynamac_v4,50,0.06,0.7,0,32,4.656612873077393e-10,4.936009645462036e-08
fault,relation_mismatch,dynamic,,wipe_desk,full,50,0.26,0.62,1,19,4.00543212890625e-05,0.00384521484375
fault,relation_mismatch,dynamic,,wipe_desk,progress_dynamic_roles,50,0.0,0.66,0,33,2.3283064365386963e-10,2.584420144557953e-08
fault,relation_mismatch,dynamic,,wipe_desk,progress_only,50,0.0,0.66,0,33,2.3283064365386963e-10,2.584420144557953e-08
fault,time_stall,dynamic,,bimanual_handover_item,dynamac_v4,50,0.76,0.98,1,12,0.00341796875,0.31103515625
fault,time_stall,dynamic,,bimanual_handover_item,full,50,0.94,0.88,5,2,0.453125,1.0
fault,time_stall,dynamic,,bimanual_handover_item,progress_dynamic_roles,50,0.58,0.72,4,11,0.11846923828124999,1.0
fault,time_stall,dynamic,,bimanual_handover_item,progress_only,50,0.54,0.68,6,13,0.1670684814453125,1.0
fault,time_stall,dynamic,,bimanual_lift_tray,dynamac_v4,50,0.84,0.9,1,4,0.375,1.0
fault,time_stall,dynamic,,bimanual_lift_tray,full,50,0.96,0.9,5,2,0.453125,1.0
fault,time_stall,dynamic,,bimanual_lift_tray,progress_dynamic_roles,50,1.0,0.94,3,0,0.25,1.0
fault,time_stall,dynamic,,bimanual_lift_tray,progress_only,50,0.88,0.88,1,1,1.0,1.0
fault,time_stall,dynamic,,bimanual_put_bottle_in_fridge,dynamac_v4,50,0.74,0.9,2,10,0.03857421875,1.0
fault,time_stall,dynamic,,bimanual_put_bottle_in_fridge,full,50,0.88,0.92,2,4,0.6875,1.0
fault,time_stall,dynamic,,bimanual_put_bottle_in_fridge,progress_dynamic_roles,50,0.94,0.88,4,1,0.375,1.0
fault,time_stall,dynamic,,bimanual_put_bottle_in_fridge,progress_only,50,0.84,0.88,4,6,0.75390625,1.0
fault,time_stall,dynamic,,bimanual_sweep_to_dustpan,dynamac_v4,50,0.98,1.0,0,1,1.0,1.0
fault,time_stall,dynamic,,bimanual_sweep_to_dustpan,full,50,1.0,0.98,1,0,1.0,1.0
fault,time_stall,dynamic,,bimanual_sweep_to_dustpan,progress_dynamic_roles,50,0.98,0.98,0,0,1.0,1.0
fault,time_stall,dynamic,,bimanual_sweep_to_dustpan,progress_only,50,1.0,1.0,0,0,1.0,1.0
fault,time_stall,dynamic,,open_microwave,dynamac_v4,50,0.0,1.0,0,50,1.7763568394002505e-15,2.8421709430404007e-13
fault,time_stall,dynamic,,open_microwave,full,50,1.0,0.98,1,0,1.0,1.0
fault,time_stall,dynamic,,open_microwave,progress_dynamic_roles,50,1.0,1.0,0,0,1.0,1.0
fault,time_stall,dynamic,,open_microwave,progress_only,50,1.0,1.0,0,0,1.0,1.0
fault,time_stall,dynamic,,place_cups,dynamac_v4,50,0.0,1.0,0,50,1.7763568394002505e-15,2.8421709430404007e-13
fault,time_stall,dynamic,,place_cups,full,50,0.94,0.96,0,1,1.0,1.0
fault,time_stall,dynamic,,place_cups,progress_dynamic_roles,50,0.58,0.58,3,3,1.0,1.0
fault,time_stall,dynamic,,place_cups,progress_only,50,0.56,0.68,2,8,0.109375,1.0
fault,time_stall,dynamic,,stack_wine,dynamac_v4,50,0.86,1.0,0,7,0.015625,1.0
fault,time_stall,dynamic,,stack_wine,full,50,1.0,1.0,0,0,1.0,1.0
fault,time_stall,dynamic,,stack_wine,progress_dynamic_roles,50,1.0,1.0,0,0,1.0,1.0
fault,time_stall,dynamic,,stack_wine,progress_only,50,1.0,1.0,0,0,1.0,1.0
fault,time_stall,dynamic,,wipe_desk,dynamac_v4,50,0.66,0.7,1,3,0.625,1.0
fault,time_stall,dynamic,,wipe_desk,full,50,0.66,0.62,4,2,0.6875,1.0
fault,time_stall,dynamic,,wipe_desk,progress_dynamic_roles,50,0.68,0.66,1,0,1.0,1.0
fault,time_stall,dynamic,,wipe_desk,progress_only,50,0.68,0.66,2,1,1.0,1.0
fault,unexpected_drop,dynamic,,bimanual_handover_item,dynamac_v4,50,0.26,0.98,1,37,2.837623469531536e-10,3.0362571123987436e-08
fault,unexpected_drop,dynamic,,bimanual_handover_item,full,50,0.52,0.88,1,19,4.00543212890625e-05,0.00384521484375
fault,unexpected_drop,dynamic,,bimanual_handover_item,progress_dynamic_roles,50,0.3,0.72,4,25,0.00010371580719947815,0.009749285876750946
fault,unexpected_drop,dynamic,,bimanual_handover_item,progress_only,50,0.14,0.68,1,28,1.1175870895385742e-07,1.0952353477478027e-05
fault,unexpected_drop,dynamic,,bimanual_lift_tray,dynamac_v4,50,0.88,0.9,2,3,1.0,1.0
fault,unexpected_drop,dynamic,,bimanual_lift_tray,full,50,0.92,0.9,4,3,1.0,1.0
fault,unexpected_drop,dynamic,,bimanual_lift_tray,progress_dynamic_roles,50,0.96,0.94,1,0,1.0,1.0
fault,unexpected_drop,dynamic,,bimanual_lift_tray,progress_only,50,0.86,0.88,0,1,1.0,1.0
fault,unexpected_drop,dynamic,,bimanual_put_bottle_in_fridge,dynamac_v4,50,0.0,0.9,0,45,5.684341886080802e-14,7.503331289626658e-12
fault,unexpected_drop,dynamic,,bimanual_put_bottle_in_fridge,full,50,0.0,0.92,0,46,2.842170943040401e-14,3.808509063674137e-12
fault,unexpected_drop,dynamic,,bimanual_put_bottle_in_fridge,progress_dynamic_roles,50,0.0,0.88,0,44,1.1368683772161603e-13,1.432454155292362e-11
fault,unexpected_drop,dynamic,,bimanual_put_bottle_in_fridge,progress_only,50,0.0,0.88,0,44,1.1368683772161603e-13,1.432454155292362e-11
fault,unexpected_drop,dynamic,,bimanual_sweep_to_dustpan,dynamac_v4,50,1.0,1.0,0,0,1.0,1.0
fault,unexpected_drop,dynamic,,bimanual_sweep_to_dustpan,full,50,1.0,0.98,1,0,1.0,1.0
fault,unexpected_drop,dynamic,,bimanual_sweep_to_dustpan,progress_dynamic_roles,50,0.0,0.98,0,49,3.552713678800501e-15,4.973799150320701e-13
fault,unexpected_drop,dynamic,,bimanual_sweep_to_dustpan,progress_only,50,0.0,1.0,0,50,1.7763568394002505e-15,2.8421709430404007e-13
fault,unexpected_drop,dynamic,,open_microwave,dynamac_v4,50,1.0,1.0,0,0,1.0,1.0
fault,unexpected_drop,dynamic,,open_microwave,full,50,1.0,0.98,1,0,1.0,1.0
fault,unexpected_drop,dynamic,,open_microwave,progress_dynamic_roles,50,1.0,1.0,0,0,1.0,1.0
fault,unexpected_drop,dynamic,,open_microwave,progress_only,50,1.0,1.0,0,0,1.0,1.0
fault,unexpected_drop,dynamic,,place_cups,dynamac_v4,50,0.0,1.0,0,50,1.7763568394002505e-15,2.8421709430404007e-13
fault,unexpected_drop,dynamic,,place_cups,full,50,0.98,0.96,1,0,1.0,1.0
fault,unexpected_drop,dynamic,,place_cups,progress_dynamic_roles,50,0.0,0.58,0,29,3.725290298461914e-09,3.8370490074157715e-07
fault,unexpected_drop,dynamic,,place_cups,progress_only,50,0.0,0.68,0,34,1.1641532182693481e-10,1.3271346688270569e-08
fault,unexpected_drop,dynamic,,stack_wine,dynamac_v4,50,1.0,1.0,0,0,1.0,1.0
fault,unexpected_drop,dynamic,,stack_wine,full,50,0.08,1.0,0,46,2.842170943040401e-14,3.808509063674137e-12
fault,unexpected_drop,dynamic,,stack_wine,progress_dynamic_roles,50,0.0,1.0,0,50,1.7763568394002505e-15,2.8421709430404007e-13
fault,unexpected_drop,dynamic,,stack_wine,progress_only,50,0.0,1.0,0,50,1.7763568394002505e-15,2.8421709430404007e-13
fault,unexpected_drop,dynamic,,wipe_desk,dynamac_v4,50,0.84,0.7,9,2,0.0654296875,1.0
fault,unexpected_drop,dynamic,,wipe_desk,full,50,0.7,0.62,5,1,0.21875,1.0
fault,unexpected_drop,dynamic,,wipe_desk,progress_dynamic_roles,50,0.6,0.66,3,6,0.5078125,1.0
fault,unexpected_drop,dynamic,,wipe_desk,progress_only,50,0.62,0.66,1,3,0.625,1.0
