experiment,background,fault,task,method,episodes,successes,success_rate,wilson95_low,wilson95_high,fault_triggered,fault_trigger_rate,triggered_successes,conditional_recovery_rate,fault_effective,relation_restored,relation_restoration_rate,legal_reentries,mean_post_fault_recovery_cycles,git_commit,result_protocol_sha256,result_path,result_sha256
normal,static,,bimanual_sweep_to_dustpan,full,200,196,0.98,0.9497129130941735,0.9921955735836505,,,,,,,,,,0401a1066f32b2d7f2842956f84c91082500b268,c39e00d5207478d74c98415fa4baca8631ca180c15e7ec0b6d032727516548b7,/home/zhengyushuang/workspace/essay2608/integrations/rlbench/results/phase6_formal_v1/normal/bimanual_sweep_to_dustpan/full_n200.json,b418f673027a4ca4ec91d877a42e4c5857a179a9005fc1f692b7ae30165f8563
normal,static,,bimanual_put_bottle_in_fridge,dynamac_v4,200,164,0.82,0.7608852497127511,0.8670537414057983,,,,,,,,,,cd3eba1dfd349ff078855af995cb16333c6d3710,c39e00d5207478d74c98415fa4baca8631ca180c15e7ec0b6d032727516548b7,/home/zhengyushuang/workspace/essay2608/integrations/rlbench/results/phase6_formal_v1/normal/bimanual_put_bottle_in_fridge/dynamac_v4_n200.json,5a9acdcbd515bb4679f3a73ce8964a8b002089ed82d7181bf10b0e35dac64832
normal,static,,bimanual_put_bottle_in_fridge,progress_only,200,154,0.77,0.7069169563469642,0.8229065674093119,,,,,,,,,,cd3eba1dfd349ff078855af995cb16333c6d3710,c39e00d5207478d74c98415fa4baca8631ca180c15e7ec0b6d032727516548b7,/home/zhengyushuang/workspace/essay2608/integrations/rlbench/results/phase6_formal_v1/normal/bimanual_put_bottle_in_fridge/progress_only_n200.json,21d8f1cc3905a31f49fb82c9adc328be63b29d6c88e783f4424c9e46b728f67c
normal,static,,bimanual_put_bottle_in_fridge,progress_dynamic_roles,200,167,0.835,0.7773421846094045,0.8800314467178268,,,,,,,,,,cd3eba1dfd349ff078855af995cb16333c6d3710,c39e00d5207478d74c98415fa4baca8631ca180c15e7ec0b6d032727516548b7,/home/zhengyushuang/workspace/essay2608/integrations/rlbench/results/phase6_formal_v1/normal/bimanual_put_bottle_in_fridge/progress_dynamic_roles_n200.json,56226c2c0a51226061625aed7bf47ddf34dbb6970dad20e9c82c7fd29cebb196
normal,static,,bimanual_put_bottle_in_fridge,full,200,166,0.83,0.7718411637168737,0.8757209208741302,,,,,,,,,,cd3eba1dfd349ff078855af995cb16333c6d3710,c39e00d5207478d74c98415fa4baca8631ca180c15e7ec0b6d032727516548b7,/home/zhengyushuang/workspace/essay2608/integrations/rlbench/results/phase6_formal_v1/normal/bimanual_put_bottle_in_fridge/full_n200.json,5da7123e43bfbab0e3fe905f742fe24d9e9b1a85f3ea2edb7c56be349247ab16
normal,static,,place_cups,dynamac_v4,200,193,0.965,0.9295293884777092,0.9829444579914328,,,,,,,,,,0401a1066f32b2d7f2842956f84c91082500b268,c39e00d5207478d74c98415fa4baca8631ca180c15e7ec0b6d032727516548b7,/home/zhengyushuang/workspace/essay2608/integrations/rlbench/results/phase6_formal_v1/normal/place_cups/dynamac_v4_n200.json,a3cc8255de2c0f2d6e8589db351ba57ac5e4d6eb4cf40cd8cba067d01ecd0641
normal,static,,place_cups,progress_only,200,125,0.625,0.5561430369897816,0.6891456314159018,,,,,,,,,,a111eac9defd80e454e6d3d63cfdc6484bc9524b,1a6417738ce4e7ded1b1faa8ada24ca805687552d9aecf342a895183aaacacfb,/home/zhengyushuang/workspace/essay2608/integrations/rlbench/results/phase6_formal_v1/normal/place_cups/progress_only_n200.json,6321078aae07b337d243550fd74c3267a0630948218c5ee759b83d9bfefe64f8
normal,static,,place_cups,progress_dynamic_roles,200,123,0.615,0.5459986722024608,0.6796669027307678,,,,,,,,,,a111eac9defd80e454e6d3d63cfdc6484bc9524b,1a6417738ce4e7ded1b1faa8ada24ca805687552d9aecf342a895183aaacacfb,/home/zhengyushuang/workspace/essay2608/integrations/rlbench/results/phase6_formal_v1/normal/place_cups/progress_dynamic_roles_n200.json,49c8bac16d093195052363d96c6816ac2e7ec9f6021747897285f9b33d8c67a1
normal,static,,place_cups,full,200,196,0.98,0.9497129130941735,0.9921955735836505,,,,,,,,,,cd3eba1dfd349ff078855af995cb16333c6d3710,c39e00d5207478d74c98415fa4baca8631ca180c15e7ec0b6d032727516548b7,/home/zhengyushuang/workspace/essay2608/integrations/rlbench/results/phase6_formal_v1/normal/place_cups/full_n200.json,abc323442fe5b5f337f384da965c969a1e9be03abd4b84015a5cae3b26fa1b84
normal,static,,open_microwave,dynamac_v4,200,197,0.985,0.9568342712073097,0.9948857622067417,,,,,,,,,,0401a1066f32b2d7f2842956f84c91082500b268,c39e00d5207478d74c98415fa4baca8631ca180c15e7ec0b6d032727516548b7,/home/zhengyushuang/workspace/essay2608/integrations/rlbench/results/phase6_formal_v1/normal/open_microwave/dynamac_v4_n200.json,fa79d9ea25106f31b7796482c7d957882725bcdc5004aa2bf98817119cec3c18
